name,domain,source_pdf,missing_from_sagco,added_as,irrefutability_role
arithmetic,binary_systems,OmniCalculator Binary System,no ADD/SUB/MUL/DIV opcodes,ADD SUB MUL DIV MOD NEG ABS opcodes,"without arithmetic you can't compute rolling offsets or frequency ratios"
bitwise_ops,binary_systems,OmniCalculator Binary System,no AND/OR/XOR/NOT opcodes,B_AND B_OR B_XOR B_NOT B_SHL B_SHR opcodes,needed to pack/unpack cell flags and binary cell storage
type_system,alchemical_process,Alchemical Process Compiler,no type coercion,CAST TYPE_OF opcodes + FlamePort type_hint,transmutation without type awareness is undefined behavior
unit_system,frequency_chemistry_geometry,Frequency Calculator + Spherical Coordinates + Electronegativity,measurements had no units,UNIT CONVERT MAGNITUDE opcodes + kernel/units.sagco,440 without hz is meaningless — domain is lost without units
tick_sealing,temporal_sovereignty,Sorcery as Virtual Mechanics,no hash-chained timestamps,TICK TICK_GET TICK_VERIFY opcodes + kernel/ticks.sagco,truth without timestamps can be disputed — ticks make the past immutable
proof_assertions,sorcery_intent,Sorcery as Virtual Mechanics,wafers test equality only point-in-time,PROOF ASSERT QED opcodes + kernel/proof.sagco,irrefutable = all invariants hold throughout execution not just at test time
binding_semantics,electronegativity,Electronegativity Calculator,no dependency bond model,BIND RELEASE BONDS opcodes + kernel/physics.sagco,implicit dependencies are invisible — explicit bonds make coupling auditable
pipeline_operator,rolling_offset,Rolling Offset Calculator,PIPE token existed but was unimplemented,PIPE COMPOSE FOLD opcodes,without explicit pipeline each transform is disconnected — rolling offset requires sequential feed-through
flameir,alchemical_process,Alchemical Process Compiler,no intermediate representation between discovery and bytecode,sagco-true/language/flameir/flame.py FlameIR FlameGraph FlameNode,without IR the domino chain breaks between CONCERT and COMPILER — nothing connects discovery to executable bytecode
frequency_periodicity,frequency_waves,Frequency Calculator,no concept of how often a step fires,PERIOD FREQUENCY PHASE opcodes + kernel/physics.sagco,discrete language needs oscillatory model — some steps are one-shot some are periodic
cross_domain_mapping,color_of_sound,Color of Sound Pitch-to-Color Calculator,no unit conversion between domains,CONVERT opcode + UNIT_CONVERSIONS table in VM (hz→rpm→rad_s nm→ang),frequency is frequency regardless of domain — the mapping proves structural equivalence
spherical_position,spherical_coordinates,Spherical Coordinates Calculator,components had no positional model in sovereignty-space,kernel/physics.sagco rho/theta/phi model,every component has a sovereignty position — rho=depth theta=dependency-bearing phi=sovereignty-elevation
