ab_id,failure,root_cause,patch,verification,status,timestamp
AB-001,Token_Factory_unreachable_cargo_run_token,main.rs_dispatch_missing_token_factory_module_existed_but_never_called,EARLY_DISPATCH_PATCH_route_execution_before_old_menu_intercepted,STATUS=SAGCO_TOKEN_FACTORY_RUST_PASS_WEIGHT=0.82,ANTIBODY_ARCHIVED,2026-06-04T22:44:39Z
AB-002,grep_-c_double_zero_bug_0_matches_returns_exit_1_triggering_OR_echo_0,grep_-c_exit_code_1_on_zero_match_concatenates_0_newline_0_as_string,replace_all_grep_-c_with_grep_PATTERN_pipe_wc_-l_pipe_tr_-d_space,STATUS=COUNT_CORRECT_zero_returns_0_not_0_newline_0,ANTIBODY_ARCHIVED,2026-06-04T22:44:39Z
AB-003,bc_not_available_on_iSH_Alpine_score_comparison_fails,iSH_Alpine_does_not_ship_bc_hallucheck_used_echo_score_lt_80_pipe_bc,replace_all_bc_comparisons_with_awk_BEGIN_exit_not_EXPR,STATUS=HALLUCHECK_PASSES_on_iSH_no_bc_dependency,ANTIBODY_ARCHIVED,2026-06-04T22:44:39Z
AB-004,VAR_caret_caret_uppercase_syntax_fails_on_POSIX_sh,bash_only_syntax_not_available_in_iSH_dash_or_Alpine_ash,replace_with_echo_VAR_pipe_tr_lower_upper_for_POSIX_portability,STATUS=SCRIPTS_RUN_on_iSH_dash_and_Alpine_ash,ANTIBODY_ARCHIVED,2026-06-04T22:44:39Z
AB-005,sagco-claims-report_PROVEN_count_inflated_all_claims_show_100_pct,grep_comma_YES_comma_matched_expected_field_which_also_contains_YES,replace_grep_with_awk_-F_comma_dollar_6_equals_equals_YES_field_6_only,STATUS=CLAIMS_SCORE_ACCURATE_CLM_001_correctly_shows_25_pct,ANTIBODY_ARCHIVED,2026-06-04T22:44:39Z
AB-006,ARTIFACT_NOT_FOUND_path_to_document_pdf_causes_dead_stop_no_output,sagco-pro-review_exited_on_missing_file_instead_of_generating_stub,add_safe_mode_missing_artifact_produces_ARTIFACT_MISSING_PACKET_STUB,STATUS=PRO_REVIEW_COMPLETE_with_stub_packet_no_dead_stops,ANTIBODY_ARCHIVED,2026-06-04T22:44:39Z
AB-007,sagco-state-read_path_uses_dash_sagco-ish_instead_of_underscore,directory_named_sagco_ish_with_underscore_not_sagco-ish_with_dash,correct_all_paths_to_sagco_ish_underscore_throughout_codebase,STATUS=ALL_PATHS_RESOLVE_correctly_on_iSH_and_cloud,ANTIBODY_ARCHIVED,2026-06-04T22:44:39Z
AB-008,strategickhaos_github_io_returns_404_public_proof_page_broken,deploy_pages_package_index_html_not_copied_to_github_io_root,sagco-redact_produces_index_redacted_html_ready_for_github_pages_deploy,STATUS=index_redacted_html_exists_SHA256_verified_awaiting_push,ANTIBODY_ARCHIVED,2026-06-04T22:44:39Z
AB-009,crate_eru_wafer_module_path_broken_in_standalone_Rust_binary,when_included_via_path_attribute_module_at_crate_root_not_under_eru,use_super_wafer_WaferRow_instead_of_crate_eru_wafer_WaferRow,STATUS=Rust_binary_compiles_token_dispatch_reaches_wafer_module,ANTIBODY_ARCHIVED,2026-06-04T22:44:39Z
AB-010,runtime_alpha_vs_run_alpha_registry_name_mismatch_deps_shows_question_mark,deps_csv_used_runtime-alpha_but_registry_has_run-alpha_causing_MISSING_status,update_deps_csv_to_use_run-alpha_matching_actual_registered_command_name,STATUS=DEPS_GRAPH_shows_OK_for_run-alpha_no_orphans,ANTIBODY_ARCHIVED,2026-06-04T22:44:39Z
AB-011,sagco-topofuzz_panics_failed_to_run_sagco-reclass_No_such_file_or_directory,sagco-reclass_binary_not_on_PATH_in_container_topofuzz_calls_it_as_subprocess,add_sagco-reclass_binary_to_container_image_or_use_absolute_path_in_topofuzz_call,STATUS=TOPOFUZZ_PASS_reclass_reachable_no_panic_in_next_tick,ANTIBODY_ARCHIVED,2026-06-04T23:14:16Z
AB-CL-499,compute_law_fail_selftest,claim_not_computable,fix_selftest,re-run_sagco-compute-law,OPEN,2026-06-05T00:48:19Z
