contr_id,case,expected,actual,word_variance,pressure,brick_born,status,timestamp
CONTR_001,C1602_CASE_001,Run software on Windows,OS edition matters — Home cannot run Docker natively — need WSL — need virtualization — need Docker Desktop — need volume management — need PID tracking,17,CRITICAL,sagco-link-bridge,BRICK_BORN,2026-06-05T02:28:02Z
CONTR_002,C1602_CASE_001,Access local server from iPad,localhost not reachable from iPad — need LAN IP — need IP detection — need URL substitution — need evidence logging — created sagco-link-bridge,14,CRITICAL,sagco-link-bridge,BRICK_BORN,2026-06-05T02:28:02Z
CONTR_003,C1602_CASE_001,Claim computes,Claim may not compute — need test command — need expected output — need SHA256 — need antibody on failure — need lineage on pass — need COMPUTABLE verdict — created sagco-compute-law,23,CRITICAL,sagco-compute-law,BRICK_BORN,2026-06-05T02:28:02Z
CONTR_MOBILE_Windows_Node_LIFE_TEST_ARTIFACT,C1602_CASE_001,Artifact exists only on Windows_Node,Artifact hashed and ingested into SAGCO evidence lineage with SHA256 and node tracking,8,HIGH,NONE,PENDING_BRICK,2026-06-05T02:14:21Z
CONTR_TEST_CL,C1602_CASE_001,Test_Expected,Test_Actual,0,LOW,NONE,LOGGED,2026-06-05T02:14:31Z
CONTR_MOBILE_test_node_README,C1602_CASE_001,Artifact exists only on test_node,Artifact hashed and ingested into SAGCO evidence lineage with SHA256 and node tracking,8,HIGH,NONE,PENDING_BRICK,2026-06-05T02:14:31Z
CONTR_MOBILE_test_node_LIFE_TEST_ARTIFACT,C1602_CASE_001,Artifact exists only on test_node,Artifact hashed and ingested into SAGCO evidence lineage with SHA256 and node tracking,8,HIGH,NONE,PENDING_BRICK,2026-06-05T02:16:11Z
CONTR_004,C1602_CASE_001,Run SAGCO on existing storage,Samsung 990 PRO 1TB NVMe PCIe 4.0 M.2 required — PC physically being built while SAGCO architecture being designed — hardware node and software node born simultaneously — Galaxy Fold already connected via Phone Link — Docker running — router online — Pi with blue LED visible,36,CRITICAL,sagco-factory-scan,BRICK_BORN,2026-06-05T02:58:46Z
CONTR_005,C1602_CASE_001,SAGCO runs on one machine,SAGCO Genesis Disk is Samsung 990 Pro that moved from internal to USB enclosure — original node became ancestor — new internal drive is current primary — Galaxy Fold is mobile node — Pi is visible online node — Docker fleet runs on Windows — Dropbox bridges nodes — Obsidian spans all,40,CRITICAL,sagco-nodes,BRICK_BORN,2026-06-05T02:34:52Z
CONTR_006,C1602_CASE_001,Projector displays image,Dead projector required driver patches resolution fixes HDMI negotiation Android integration Phone Link config — projector became Command Wall Evidence Display SAGCO Live Dashboard — PROJECTOR_NODE ACTIVE,22,CRITICAL,NONE,PENDING_BRICK,2026-06-05T02:34:52Z
CONTR_007,C1602_CASE_001,sagco-dangerously is just a cool command name with no behavioral difference,sagco-dangerously writes DANGER_MODE to shared state mesh which is queryable by all agents — mode change is logged flagged and auditable under Compute Law — expected normal AI workflow actual high-agency dispatch with department flags and parallelism change — variance POSITIVE,27,CRITICAL,sagco-dangerously,BRICK_BORN,2026-06-05T03:01:51Z
CONTR_008,C1602_CASE_001,SAGCO is a sovereign operating system independent of host tools,SAGCO currently orchestrates Windows Docker Kubernetes GitHub Rust PowerShell WSL — it wraps and abstracts them but cannot yet boot without them — however SAGCO concepts ancestor descendant compute-law alchemy collapse-score weight have NO equivalent in any host tool — the methodology layer is already sovereign — the infrastructure layer is not yet,39,CRITICAL,sagco-boot,BRICK_BORN,2026-06-05T03:32:37Z
