case,claim,test_cmd,expected,actual_exit,output_sample,verdict,sha256_claim,timestamp
C1602_CASE_001,SAGCO_MIDI_generates_audible_events_from_runtime_logs,sagco_ish/midi/bin/sagco-midi sagco_ish/fleet/data/sagco_daemon_telemetry_2026-06-03.log midi_law_test,SAGCO_MIDI_GENERATED,0,=== SAGCO-MIDI v2 ===|Input : sagco_ish/fleet/data/sagco_daemon_telemetry_2026-0,COMPUTABLE,c3b2c966b27d5c4b,2026-06-05T00:34:12Z
C1602_CASE_001,constitution_12_commandments_upheld,sagco_ish/constitution/bin/sagco-commandments C1602_CASE_001,CONSTITUTION_EXEMPLARY,0,=== SAGCO CONSTITUTION ===|Case: C1602_CASE_001  |  Generated: 2026-06-05T00:34:,COMPUTABLE,14c02072d437cab2,2026-06-05T00:34:19Z
C1602_CASE_001,sagco-pro-review_binary_exists,test -x sagco_ish/pro_review/bin/sagco-pro-review,EXIT_0,0,EMPTY,COMPUTABLE,a474f42ba1d8a003,2026-06-05T00:34:19Z
C1602_CASE_001,chapter_one_library_file_exists,test -f sagco_ish/library/chapter_one.md,EXIT_0,0,EMPTY,COMPUTABLE,7facd2dda32b2c9b,2026-06-05T00:34:19Z
C1602_CASE_001,evolution_ledger_produces_key_and_mood,sagco_ish/evo/bin/sagco-evo C1602_CASE_001,CURRENT_KEY,0,=== SAGCO EVOLUTION LEDGER ===|Case: C1602_CASE_001  |  Generated: 2026-06-05T00,COMPUTABLE,c3def40bed7a3ade,2026-06-05T00:34:19Z
C1602_CASE_001,Claim_1_Translation_Engine_queryable_registry_11_terms,sagco_ish/lineage/bin/sagco-translate --list,Computable: 11,0,=== SAGCO TRANSLATION REGISTRY ===||  ✅ Purple_Node                    → Evi,COMPUTABLE,ac11c48c21469210,2026-06-05T00:45:08Z
C1602_CASE_001,Claim_2_Adaptation_Lineage_CAER_weights_and_CURRENT_KEY,sagco_ish/evo/bin/sagco-evo C1602_CASE_001,CURRENT_KEY,0,=== SAGCO EVOLUTION LEDGER ===|Case: C1602_CASE_001  |  Generated: 2026-06-05T00,COMPUTABLE,152f60d90c5a3560,2026-06-05T00:45:08Z
C1602_CASE_001,Claim_3_MIDI_sonification_daemon_telemetry_to_musical_events,sagco_ish/midi/bin/sagco-midi sagco_ish/fleet/data/sagco_daemon_telemetry_2026-06-03.log blueprint_verify,SAGCO_MIDI_GENERATED,0,=== SAGCO-MIDI v2 ===|Input : sagco_ish/fleet/data/sagco_daemon_telemetry_2026-0,COMPUTABLE,6ae46a6db7b6bb34,2026-06-05T00:45:08Z
C1602_CASE_001,Claim_4_cross_device_evidence_transport_LAN_translation,sagco_ish/link_bridge/bin/sagco-link-bridge http://localhost:8080 192.168.1.100 blueprint_verify,SAGCO_LINK_BRIDGED,0,SAGCO_LINK_BRIDGED|Case    : C1602_CASE_001|Original: http://localhost:8080|LAN ,COMPUTABLE,c9bf5912f18e365c,2026-06-05T00:45:08Z
C1602_CASE_001,selftest,test,-f,1,EMPTY,MYTHOLOGY,d354caf95d3e6516,2026-06-05T00:48:19Z
C1602_CASE_001,INV-008_survival_rule_itself_computes,sagco_ish/compute_law/bin/sagco-compute-law C1602_CASE_001 selftest test -f README.md EXIT_0,SAGCO_COMPUTE_LAW_COMPLETE,0,=== SAGCO COMPUTE LAW ===|Case   : C1602_CASE_001|Claim  : selftest|Test   : tes,COMPUTABLE,f3b2f872ceeb7569,2026-06-05T00:48:19Z
C1602_CASE_001,trial_TRIAL_001_A,test -x sagco_ish/lineage/bin/sagco-translate,EXIT_0,0,EMPTY,COMPUTABLE,7cdf3fcfe287a580,2026-06-05T00:51:12Z
C1602_CASE_001,trial_TRIAL_001_B,sagco_ish/lineage/bin/sagco-translate --list,Computable: 11,0,=== SAGCO TRANSLATION REGISTRY ===||  ✅ Purple_Node                    → Evi,COMPUTABLE,b4789d68b586b435,2026-06-05T00:51:12Z
C1602_CASE_001,trial_TRIAL_001_C,sagco_ish/lineage/bin/sagco-translate --lookup Purple_Node,Evidence_Reconciliation,0,=== TRANSLATION: Purple_Node ===|Story Name      : Purple_Node|Engineering Name:,COMPUTABLE,c1ee1315abf528c1,2026-06-05T00:51:12Z
C1602_CASE_001,trial_TRIAL_001_D,sagco_ish/lineage/bin/sagco-translate --verify Purple_Node,COMPUTABLE,0,=== VERIFY: Purple_Node ===|Test: test -x sagco_ish/hallucheck/bin/sagco-halluch,COMPUTABLE,c9a8174c7d80037f,2026-06-05T00:51:12Z
C1602_CASE_001,trial_TRIAL_001_E,sagco_ish/lineage/bin/sagco-translate Trial_Brick_060 Mock_Trial_Compute_Test test -f README.md EXIT_0,SAGCO_TRANSLATION_REGISTERED,0,SAGCO_TRANSLATION_REGISTERED|Story Name      : Trial_Brick_060|Engineering Name:,COMPUTABLE,2e0a5086b6add199,2026-06-05T00:51:12Z
C1602_CASE_001,trial_TRIAL_001_F,grep -c 'sagco-translate' sagco_ish/runtime/bin/sagco-run-alpha,EXIT_NONZERO,1,0|,COMPUTABLE,c2f46ca4b26363fc,2026-06-05T00:51:12Z
C1602_CASE_001,trial_TRIAL_002_A,sagco_ish/evo/bin/sagco-evo C1602_CASE_001,CURRENT_KEY,0,=== SAGCO EVOLUTION LEDGER ===|Case: C1602_CASE_001  |  Generated: 2026-06-05T00,COMPUTABLE,b9f0aaeaf4679a01,2026-06-05T00:53:19Z
C1602_CASE_001,trial_TRIAL_002_B,test 12 -ge 11,EXIT_0,0,EMPTY,COMPUTABLE,68b308aaff61d944,2026-06-05T00:53:19Z
C1602_CASE_001,trial_TRIAL_002_C,grep -c 'INV-008' sagco_ish/lineage/inventions/inventions.csv,EXIT_0,0,1|,COMPUTABLE,5685065742a7aa28,2026-06-05T00:53:19Z
C1602_CASE_001,trial_TRIAL_002_D,grep -c 'link_bridge\|localhost' sagco_ish/antibody/data/antibody_archive.csv,EXIT_0,1,0|,MYTHOLOGY,6f3164a677db97b3,2026-06-05T00:53:19Z
C1602_CASE_001,trial_TRIAL_002_E,test 44 -gt 15,EXIT_0,0,EMPTY,COMPUTABLE,0e6a37512302e898,2026-06-05T00:53:19Z
C1602_CASE_001,brick_062_collapse_score_binary_exists_and_executable,test -x sagco_ish/collapse/bin/sagco-collapse-score,EXIT_0,0,EMPTY,COMPUTABLE,e6dc0690e11d6b0e,2026-06-05T01:04:30Z
C1602_CASE_001,brick_062_collapse_score_produces_output,sagco_ish/collapse/bin/sagco-collapse-score C1602_CASE_001 3,SAGCO_COLLAPSE_SCORE_COMPLETE,0,=== SAGCO QUADRILATERAL COLLAPSE SCORER ===|Case: C1602_CASE_001  |  Expected ba,COMPUTABLE,de980e4b06608b8e,2026-06-05T01:04:30Z
C1602_CASE_001,brick_062_collapse_log_created,test -f sagco_ish/collapse/logs/collapse_scores.csv,EXIT_0,0,EMPTY,COMPUTABLE,35119e093c692cb1,2026-06-05T01:04:30Z
C1602_CASE_001,brick_062_weight_reads_collapse_component,sagco_ish/governance_fleet/bin/sagco-weight sagco-evo C1602_CASE_001,FULL_FLEET,0,=== SAGCO WEIGHT: sagco-evo ===|Case: C1602_CASE_001||  Creation   :  10  (manif,COMPUTABLE,df8ed65dcdc883d5,2026-06-05T01:04:30Z
C1602_CASE_001,brick_063_coords_binary_exists,test -x sagco_ish/coords/bin/sagco-coords,EXIT_0,0,EMPTY,COMPUTABLE,a73e65997c0876cd,2026-06-05T01:59:33Z
C1602_CASE_001,brick_063_coords_query_answers_WHERE_IS_BRICK,sagco_ish/coords/bin/sagco-coords sagco-evo C1602_CASE_001,SAGCO_COORDS_COMPLETE,0,╔═════════════════════════�,COMPUTABLE,3d76ea8016aa44c7,2026-06-05T01:59:33Z
